ray_id,step,x,y,r,phi,dr,dphi,E,L
0,0,-99997002074.1964,-49999999999.38824,111800717456.39946,-2.6779330526030587,-268141191.8979495,0.0011992273542576946,296371855.54086864,1.4989622900000004e+19
1,0,-99997002074.5107,-38888888888.53523,107292805457.19054,-2.7706912374759516,-279407066.0486671,0.00101275649103985,297455535.9427231,1.1658595588888881e+19
2,0,-99997002074.87215,-27777777777.62562,103783454183.33858,-2.8706380719985995,-288854895.8307499,0.0007731467952827593,298477321.29879993,8.327568277777781e+18
3,0,-99997002075.19824,-16666666666.629707,101376418371.35373,-2.9764391145340383,-295713264.3382094,0.0004861782941342529,299285164.6648196,4.996540966666673e+18
4,0,-99997002075.39381,-5555555555.554097,100151208787.49873,-3.0860924879054528,-299330861.13585943,0.00016604882506981688,299734041.88516045,1.66551365555556e+18
5,0,-99997002075.39381,5555555555.554097,100151208787.49873,3.0860924879054528,-299330861.13585943,-0.00016604882506981688,299734041.88516045,-1.66551365555556e+18
6,0,-99997002075.19824,16666666666.629707,101376418371.35373,2.9764391145340383,-295713264.3382094,-0.0004861782941342529,299285164.6648196,-4.996540966666673e+18
7,0,-99997002074.87215,27777777777.62562,103783454183.33858,2.8706380719985995,-288854895.8307499,-0.0007731467952827593,298477321.29879993,-8.327568277777781e+18
8,0,-99997002074.5107,38888888888.53523,107292805457.19054,2.7706912374759516,-279407066.0486671,-0.00101275649103985,297455535.9427231,-1.1658595588888881e+19
9,0,-99997002074.1964,49999999999.38824,111800717456.39946,2.6779330526030587,-268141191.8979495,-0.0011992273542576946,296371855.54086864,-1.4989622900000004e+19
0,1,-99994004145.94551,-49999999997.55275,111798036051.15182,-2.677921060041889,-268139857.6145606,0.0011992848803681101,296371855.54086864,1.4989622900000004e+19
1,1,-99994004147.20265,-38888888887.474304,107290011391.05682,-2.770681109647297,-279406160.6828394,0.0010128092405068789,297455535.9427231,1.1658595588888881e+19
2,1,-99994004148.64851,-27777777777.169037,103780565636.91356,-2.870630340315455,-288854389.16738,0.0007731898341981356,298477321.29879993,8.327568277777781e+18
3,1,-99994004149.95285,-16666666666.518803,101373461239.68362,-2.9764342526092755,-295713069.6787936,0.0004862066588400162,299285164.6648196,4.996540966666673e+18
4,1,-99994004150.73526,-5555555555.549718,100148215478.99922,-3.0860908273675722,-299330838.7668713,0.00016605875121348165,299734041.88516045,1.66551365555556e+18
5,1,-99994004150.73526,5555555555.549718,100148215478.99922,3.0860908273675722,-299330838.7668713,-0.00016605875121348165,299734041.88516045,-1.66551365555556e+18
6,1,-99994004149.95285,16666666666.518803,101373461239.68362,2.9764342526092755,-295713069.6787936,-0.0004862066588400162,299285164.6648196,-4.996540966666673e+18
7,1,-99994004148.64851,27777777777.169037,103780565636.91356,2.870630340315455,-288854389.16738,-0.0007731898341981356,298477321.29879993,-8.327568277777781e+18
8,1,-99994004147.20265,38888888887.474304,107290011391.05682,2.770681109647297,-279406160.6828394,-0.0010128092405068789,297455535.9427231,-1.1658595588888881e+19
9,1,-99994004145.94551,49999999997.55275,111798036051.15182,2.677921060041889,-268139857.6145606,-0.0011992848803681101,296371855.54086864,-1.4989622900000004e+19
0,2,-99991006215.2471,-49999999994.49341,111795354659.24747,-2.6779090669054386,-268138523.2417261,0.001199342410331563,296371855.54086864,1.4989622900000004e+19
1,2,-99991006218.07568,-38888888885.70597,107287217333.9771,-2.7706709812911283,-279405255.2513587,0.0010128619939242516,297455535.9427231,1.1658595588888881e+19
2,2,-99991006221.32896,-27777777776.408024,103777677095.55536,-2.870622608201904,-288853882.46486795,0.0007732328766318911,298477321.29879993,8.327568277777781e+18
3,2,-99991006224.26384,-16666666666.333954,101370504109.9602,-2.9764293904008534,-295712875.00365406,0.0004862350260094656,299285164.6648196,4.996540966666673e+18
4,2,-99991006226.0243,-5555555555.542433,100145222170.7234,-3.0860891667304258,-299330816.3960341,0.00016606867824648554,299734041.88516045,1.66551365555556e+18
5,2,-99991006226.0243,5555555555.542433,100145222170.7234,3.0860891667304258,-299330816.3960341,-0.00016606867824648554,299734041.88516045,-1.66551365555556e+18
6,2,-99991006224.26384,16666666666.333954,101370504109.9602,2.9764293904008534,-295712875.00365406,-0.0004862350260094656,299285164.6648196,-4.996540966666673e+18
7,2,-99991006221.32896,27777777776.408024,103777677095.55536,2.870622608201904,-288853882.46486795,-0.0007732328766318911,298477321.29879993,-8.327568277777781e+18
8,2,-99991006218.07568,38888888885.70597,107287217333.9771,2.7706709812911283,-279405255.2513587,-0.0010128619939242516,297455535.9427231,-1.1658595588888881e+19
9,2,-99991006215.2471,49999999994.49341,111795354659.24747,2.6779090669054386,-268138523.2417261,-0.001199342410331563,296371855.54086864,-1.4989622900000004e+19
0,3,-99988008282.10092,-49999999990.21009,111792673280.68729,-2.6778970731936695,-268137188.77943847,0.0011993999441483692,296371855.54086864,1.4989622900000004e+19
1,3,-99988008287.12962,-38888888883.230156,107284423285.95201,-2.7706608524074055,-279404349.75421876,0.0010129147512923447,297455535.9427231,1.1658595588888881e+19
2,3,-99988008292.9134,-27777777775.342525,103774788559.26439,-2.870614875657911,-288853375.72321,0.0007732759225844014,298477321.29879993,8.327568277777781e+18
3,3,-99988008298.13113,-16666666666.075165,101367546982.18361,-2.976424527908747,-295712680.31278914,0.00048626339564288425,299285164.6648196,4.996540966666673e+18
4,3,-99988008301.26097,-5555555555.532241,100142228862.67131,-3.0860875059940045,-299330794.02334774,0.0001660786061689347,299734041.88516045,1.66551365555556e+18
5,3,-99988008301.26097,5555555555.532241,100142228862.67131,3.0860875059940045,-299330794.02334774,-0.0001660786061689347,299734041.88516045,-1.66551365555556e+18
6,3,-99988008298.13113,16666666666.075165,101367546982.18361,2.976424527908747,-295712680.31278914,-0.00048626339564288425,299285164.6648196,-4.996540966666673e+18
7,3,-99988008292.9134,27777777775.342525,103774788559.26439,2.870614875657911,-288853375.72321,-0.0007732759225844014,298477321.29879993,-8.327568277777781e+18
8,3,-99988008287.12962,38888888883.230156,107284423285.95201,2.7706608524074055,-279404349.75421876,-0.0010129147512923447,297455535.9427231,-1.1658595588888881e+19
9,3,-99988008282.10092,49999999990.21009,111792673280.68729,2.6778970731936695,-268137188.77943847,-0.0011993999441483692,296371855.54086864,-1.4989622900000004e+19
0,4,-99985010346.50679,-49999999984.702644,111789991915.47218,-2.677885078906543,-268135854.22769022,0.001199457481818845,296371855.54086864,1.4989622900000004e+19
1,4,-99985010354.36426,-38888888880.04676,107281629246.98222,-2.770650722996089,-279403444.1914136,0.0010129675126115353,297455535.9427231,1.1658595588888881e+19
2,4,-99985010363.40167,-27777777773.97249,103771900028.04103,-2.8706071426834407,-288852868.94240206,0.0007733189720560417,298477321.29879993,8.327568277777781e+18
3,4,-99985010371.55467,-16666666665.742403,101364589856.354,-2.976419665132932,-295712485.6061972,0.00048629176774055556,299285164.6648196,4.996540966666673e+18
4,4,-99985010376.44524,-5555555555.519138,100139235554.84294,-3.0860858451582995,-299330771.64881194,0.00016608853498093534,299734041.88516045,1.66551365555556e+18
5,4,-99985010376.44524,5555555555.519138,100139235554.84294,3.0860858451582995,-299330771.64881194,-0.00016608853498093534,299734041.88516045,-1.66551365555556e+18
6,4,-99985010371.55467,16666666665.742403,101364589856.354,2.976419665132932,-295712485.6061972,-0.00048629176774055556,299285164.6648196,-4.996540966666673e+18
7,4,-99985010363.40167,27777777773.97249,103771900028.04103,2.8706071426834407,-288852868.94240206,-0.0007733189720560417,298477321.29879993,-8.327568277777781e+18
8,4,-99985010354.36426,38888888880.04676,107281629246.98222,2.770650722996089,-279403444.1914136,-0.0010129675126115353,297455535.9427231,-1.1658595588888881e+19
9,4,-99985010346.50679,49999999984.702644,111789991915.47218,2.677885078906543,-268135854.22769022,-0.001199457481818845,296371855.54086864,-1.4989622900000004e+19
0,5,-99982012408.46446,-49999999977.97095,111787310563.60304,-2.67787308404402,-268134519.58647382,0.0011995150233433064,296371855.54086864,1.4989622900000004e+19
1,5,-99982012419.77945,-38888888876.15566,107278835217.06839,-2.77064059305714,-279402538.562937,0.0010130202778822002,297455535.9427231,1.1658595588888881e+19
2,5,-99982012432.7937,-27777777772.29792,103769011501.88568,-2.870599409278458,-288852362.12244034,0.0007733620250471877,298477321.29879993,8.327568277777781e+18
3,5,-99982012444.53442,-16666666665.335638,101361632732.47154,-2.9764148020733843,-295712290.88387644,0.00048632014230276283,299285164.6648196,4.996540966666673e+18
4,5,-99982012451.57709,-5555555555.503125,100136242247.23833,-3.086084184223302,-299330749.2724265,0.0001660984646825936,299734041.88516045,1.66551365555556e+18
5,5,-99982012451.57709,5555555555.503125,100136242247.23833,3.086084184223302,-299330749.2724265,-0.0001660984646825936,299734041.88516045,-1.66551365555556e+18
6,5,-99982012444.53442,16666666665.335638,101361632732.47154,2.9764148020733843,-295712290.88387644,-0.00048632014230276283,299285164.6648196,-4.996540966666673e+18
7,5,-99982012432.7937,27777777772.29792,103769011501.88568,2.870599409278458,-288852362.12244034,-0.0007733620250471877,298477321.29879993,-8.327568277777781e+18
8,5,-99982012419.77945,38888888876.15566,107278835217.06839,2.77064059305714,-279402538.562937,-0.0010130202778822002,297455535.9427231,-1.1658595588888881e+19
9,5,-99982012408.46446,49999999977.97095,111787310563.60304,2.67787308404402,-268134519.58647382,-0.0011995150233433064,296371855.54086864,-1.4989622900000004e+19
0,6,-99979014467.97371,-49999999970.0148,111784629225.08075,-2.677861088606063,-268133184.8557818,0.00119957256872207,296371855.54086864,1.4989622900000004e+19
1,6,-99979014483.37498,-38888888871.5568,107276041196.21118,-2.7706304625905185,-279401632.868783,0.0010130730471047166,297455535.9427231,1.1658595588888881e+19
2,6,-99979014501.08932,-27777777770.31875,103766122980.79872,-2.870591675442928,-288851855.2633208,0.0007734050815582148,298477321.29879993,8.327568277777781e+18
3,6,-99979014517.07031,-16666666664.854923,101358675610.53638,-2.976409938730078,-295712096.1458253,0.00048634851932978946,299285164.6648196,4.996540966666673e+18
4,6,-99979014526.65656,-5555555555.4842,100133248939.8575,-3.086082523189003,-299330726.8941912,0.00016610839527401576,299734041.88516045,1.66551365555556e+18
5,6,-99979014526.65656,5555555555.4842,100133248939.8575,3.086082523189003,-299330726.8941912,-0.00016610839527401576,299734041.88516045,-1.66551365555556e+18
6,6,-99979014517.07031,16666666664.854923,101358675610.53638,2.976409938730078,-295712096.1458253,-0.00048634851932978946,299285164.6648196,-4.996540966666673e+18
7,6,-99979014501.08932,27777777770.31875,103766122980.79872,2.870591675442928,-288851855.2633208,-0.0007734050815582148,298477321.29879993,-8.327568277777781e+18
8,6,-99979014483.37498,38888888871.5568,107276041196.21118,2.7706304625905185,-279401632.868783,-0.0010130730471047166,297455535.9427231,-1.1658595588888881e+19
9,6,-99979014467.97371,49999999970.0148,111784629225.08075,2.677861088606063,-268133184.8557818,-0.00119957256872207,296371855.54086864,-1.4989622900000004e+19
0,7,-99976016525.03435,-49999999960.834076,111781947899.90622,-2.677849092592633,-268131850.0356066,0.0011996301179554518,296371855.54086864,1.4989622900000004e+19
1,7,-99976016545.15068,-38888888866.25009,107273247184.41124,-2.770620331596185,-279400727.10894537,0.0010131258202794615,297455535.9427231,1.1658595588888881e+19
2,7,-99976016568.28845,-27777777768.034916,103763234464.78055,-2.870583941176815,-288851348.3650395,0.0007734481415894986,298477321.29879993,8.327568277777781e+18
3,7,-99976016589.1623,-16666666664.300184,101355718490.54868,-2.9764050751029894,-295711901.3920421,0.0004863768988219188,299285164.6648196,4.996540966666673e+18
4,7,-99976016601.68358,-5555555555.462358,100130255632.70045,-3.0860808620553937,-299330704.5141059,0.000166118326755308,299734041.88516045,1.66551365555556e+18
5,7,-99976016601.68358,5555555555.462358,100130255632.70045,3.0860808620553937,-299330704.5141059,-0.000166118326755308,299734041.88516045,-1.66551365555556e+18
6,7,-99976016589.1623,16666666664.300184,101355718490.54868,2.9764050751029894,-295711901.3920421,-0.0004863768988219188,299285164.6648196,-4.996540966666673e+18
7,7,-99976016568.28845,27777777768.034916,103763234464.78055,2.870583941176815,-288851348.3650395,-0.0007734481415894986,298477321.29879993,-8.327568277777781e+18
8,7,-99976016545.15068,38888888866.25009,107273247184.41124,2.770620331596185,-279400727.10894537,-0.0010131258202794615,297455535.9427231,-1.1658595588888881e+19
9,7,-99976016525.03435,49999999960.834076,111781947899.90622,2.677849092592633,-268131850.0356066,-0.0011996301179554518,296371855.54086864,-1.4989622900000004e+19
0,8,-99973018579.64612,-49999999950.42864,111779266588.08034,-2.677837096003691,-268130515.12594074,0.0011996876710437681,296371855.54086864,1.4989622900000004e+19
1,8,-99973018605.10637,-38888888860.23544,107270453181.66922,-2.7706102000740995,-279399821.28341806,0.0010131785974068117,297455535.9427231,1.1658595588888881e+19
2,8,-99973018634.39095,-27777777765.446392,103760345953.83156,-2.8705762064800844,-288850841.4275926,0.0007734912051414149,298477321.29879993,8.327568277777781e+18
3,8,-99973018660.81035,-16666666663.671432,101352761372.50859,-2.9764002111920935,-295711706.6225251,0.0004864052807794344,299285164.6648196,4.996540966666673e+18
4,8,-99973018676.65822,-5555555555.437601,100127262325.76723,-3.086079200822465,-299330682.1321704,0.00016612825912657654,299734041.88516045,1.66551365555556e+18
5,8,-99973018676.65822,5555555555.437601,100127262325.76723,3.086079200822465,-299330682.1321704,-0.00016612825912657654,299734041.88516045,-1.66551365555556e+18
6,8,-99973018660.81035,16666666663.671432,101352761372.50859,2.9764002111920935,-295711706.6225251,-0.0004864052807794344,299285164.6648196,-4.996540966666673e+18
7,8,-99973018634.39095,27777777765.446392,103760345953.83156,2.8705762064800844,-288850841.4275926,-0.0007734912051414149,298477321.29879993,-8.327568277777781e+18
8,8,-99973018605.10637,38888888860.23544,107270453181.66922,2.7706102000740995,-279399821.28341806,-0.0010131785974068117,297455535.9427231,-1.1658595588888881e+19
9,8,-99973018579.64612,49999999950.42864,111779266588.08034,2.677837096003691,-268130515.12594074,-0.0011996876710437681,296371855.54086864,-1.4989622900000004e+19
0,9,-99970020631.80882,-49999999938.798355,111776585289.604,-2.677825098839199,-268129180.1267767,0.0011997452279873353,296371855.54086864,1.4989622900000004e+19
1,9,-99970020663.24187,-38888888853.51272,107267659187.9858,-2.7706000680242235,-279398915.392195,0.0010132313784871447,297455535.9427231,1.1658595588888881e+19
2,9,-99970020699.39671,-27777777762.55314,103757457447.95213,-2.8705684713527004,-288850334.450976,0.0007735342722143392,298477321.29879993,8.327568277777781e+18
3,9,-99970020732.01437,-16666666662.968674,101349804256.41628,-2.9763953469973656,-295711511.8372727,0.0004864336652026197,299285164.6648196,4.996540966666673e+18
4,9,-99970020751.5804,-5555555555.409923,100124269019.05782,-3.0860775394902085,-299330659.7483844,0.00016613819238792767,299734041.88516045,1.66551365555556e+18
5,9,-99970020751.5804,5555555555.409923,100124269019.05782,3.0860775394902085,-299330659.7483844,-0.00016613819238792767,299734041.88516045,-1.66551365555556e+18
6,9,-99970020732.01437,16666666662.968674,101349804256.41628,2.9763953469973656,-295711511.8372727,-0.0004864336652026197,299285164.6648196,-4.996540966666673e+18
7,9,-99970020699.39671,27777777762.55314,103757457447.95213,2.8705684713527004,-288850334.450976,-0.0007735342722143392,298477321.29879993,-8.327568277777781e+18
8,9,-99970020663.24187,38888888853.51272,107267659187.9858,2.7706000680242235,-279398915.392195,-0.0010132313784871447,297455535.9427231,-1.1658595588888881e+19
9,9,-99970020631.80882,49999999938.798355,111776585289.604,2.677825098839199,-268129180.1267767,-0.0011997452279873353,296371855.54086864,-1.4989622900000004e+19
0,10,-99967022681.52225,-49999999925.94302,111773904004.4781,-2.6778131010991184,-268127845.03810698,0.0011998027887864698,296371855.54086864,1.4989622900000004e+19
1,10,-99967022719.55699,-38888888846.081856,107264865203.3616,-2.770589935446517,-279398009.4352701,0.0010132841635208374,297455535.9427231,1.1658595588888881e+19
2,10,-99967022763.30559,-27777777759.355118,103754568947.14267,-2.870560735794628,-288849827.4351859,0.0007735773428086473,298477321.29879993,8.327568277777781e+18
3,10,-99967022802.77435,-16666666662.19188,101346847142.2719,-2.9763904825187812,-295711317.0362832,0.00048646205209175827,299285164.6648196,4.996540966666673e+18
4,10,-99967022826.45015,-5555555555.379368,100121275712.57227,-3.0860758780586144,-299330637.36274785,0.00016614812653946765,299734041.88516045,1.66551365555556e+18
5,10,-99967022826.45015,5555555555.379368,100121275712.57227,3.0860758780586144,-299330637.36274785,-0.00016614812653946765,299734041.88516045,-1.66551365555556e+18
6,10,-99967022802.77435,16666666662.19188,101346847142.2719,2.9763904825187812,-295711317.0362832,-0.00048646205209175827,299285164.6648196,-4.996540966666673e+18
7,10,-99967022763.30559,27777777759.355118,103754568947.14267,2.870560735794628,-288849827.4351859,-0.0007735773428086473,298477321.29879993,-8.327568277777781e+18
8,10,-99967022719.55699,38888888846.081856,107264865203.3616,2.770589935446517,-279398009.4352701,-0.0010132841635208374,297455535.9427231,-1.1658595588888881e+19
9,10,-99967022681.52225,49999999925.94302,111773904004.4781,2.6778131010991184,-268127845.03810698,-0.0011998027887864698,296371855.54086864,-1.4989622900000004e+19
0,11,-99964024728.78615,-49999999911.862564,111771222732.70354,-2.6778011027834103,-268126509.85992405,0.0011998603534414877,296371855.54086864,1.4989622900000004e+19
1,11,-99964024774.05154,-38888888837.94278,107262071227.7973,-2.77057980234094,-279397103.4126372,0.0010133369525082672,297455535.9427231,1.1658595588888881e+19
2,11,-99964024826.1175,-27777777755.85227,103751680451.40356,-2.8705529998058323,-288849320.3802183,0.000773620416924715,298477321.29879993,8.327568277777781e+18
3,11,-99964024873.09023,-16666666661.341057,101343890030.0756,-2.9763856177563155,-295711122.2195549,0.0004864904414471337,299285164.6648196,4.996540966666673e+18
4,11,-99964024901.26747,-5555555555.345887,100118282406.31058,-3.0860742165276744,-299330614.97526044,0.00016615806158130276,299734041.88516045,1.66551365555556e+18
5,11,-99964024901.26747,5555555555.345887,100118282406.31058,3.0860742165276744,-299330614.97526044,-0.00016615806158130276,299734041.88516045,-1.66551365555556e+18
6,11,-99964024873.09023,16666666661.341057,101343890030.0756,2.9763856177563155,-295711122.2195549,-0.0004864904414471337,299285164.6648196,-4.996540966666673e+18
7,11,-99964024826.1175,27777777755.85227,103751680451.40356,2.8705529998058323,-288849320.3802183,-0.000773620416924715,298477321.29879993,-8.327568277777781e+18
8,11,-99964024774.05154,38888888837.94278,107262071227.7973,2.77057980234094,-279397103.4126372,-0.0010133369525082672,297455535.9427231,-1.1658595588888881e+19
9,11,-99964024728.78615,49999999911.862564,111771222732.70354,2.6778011027834103,-268126509.85992405,-0.0011998603534414877,296371855.54086864,-1.4989622900000004e+19
0,12,-99961026773.60031,-49999999896.556786,111768541474.2812,-2.6777891038920365,-268125174.5922204,0.0011999179219527058,296371855.54086864,1.4989622900000004e+19
1,12,-99961026826.72536,-38888888829.09539,107259277261.29356,-2.7705696687074535,-279396197.32429016,0.0010133897454498112,297455535.9427231,1.1658595588888881e+19
2,12,-99961026887.8323,-27777777752.044537,103748791960.7352,-2.870545263386278,-288848813.28606933,0.0007736634945629181,298477321.29879993,8.327568277777781e+18
3,12,-99961026942.96194,-16666666660.416166,101340932919.82756,-2.976380752709944,-295710927.38708615,0.00048651883326902953,299285164.6648196,4.996540966666673e+18
4,12,-99961026976.03233,-5555555555.30948,100115289100.27277,-3.0860725548973797,-299330592.58592194,0.00016616799751353932,299734041.88516045,1.66551365555556e+18
5,12,-99961026976.03233,5555555555.30948,100115289100.27277,3.0860725548973797,-299330592.58592194,-0.00016616799751353932,299734041.88516045,-1.66551365555556e+18
